Index	Name	SMARTS	reason	acceptable_serine_trap	acceptable_ZBG	Level
P_3	cyanophosphonate	P(OCC)(OCC)(=O)C#N		0	0	1
P_4	P-[N,P,S] bond	P~[N,P,S]		0	0	1
P_5	di-tri-phosphate	P(=O)([OH])OP(=O)[OH]		0	0	1
P_6	phosphine	[P;X3]		0	0	1
P_7	phosphin(i,o)nic acid	[#6][P](=O)[OH,O-]	metal binder (active metabolite of ACE inh Fosinopril)	0	1	2
P_8	phosph(on,in)ate	[P;!$(P[OH]);!$(P[O-])](=O)[#6]	serine traps (phosphonic esters)	0	0	1
P_9	H-phosphino	[#1]P=O		0	0	1
P_10	phosphine oxide	[#6]P(=O)([#6])[#6]	level should be revised since Brigatinib exhibits this moiety	0	0	1
P_11	divinyl phosphinic	C=CP(=O)(O)C=C		0	0	1
P_12	aryl phosphorous	aP		0	0	1
X_1	alkyl halide	[Br,Cl,I][CX4;!H0]	reagent	0	0	1
X_2	N or S mustard	[N,S]!@[C;X4]!@[CH2][Cl,Br,I]	reagent	0	0	1
X_3	aromatic bromine	c[Br]	toxicophore precursor (reactive metabolite)	0	0	2
X_4	iodine	[I]		0	0	2
X_5	per-halo alkyl	C([F,Cl])([F,Cl])C([F,Cl])([F,Cl])C([F,Cl])[F,Cl]		0	0	1
X_6	per-halo phenyl	c1c([F,Br,Cl,I])c([F,Br,Cl,I])c([F,Br,Cl,I])c([F,Br,Cl,I])c1		0	0	1
X_7	tri-halo vinyl heteroatom	C(-[Cl,Br,I])(-[Cl,Br,I])=C(-[Cl,Br,I])(-[N,O,S])		0	0	1
X_8	aryl with more-than-2 chlorines	[$(Clcc(Cl)cCl),$(Clcac(Cl)cCl)]		0	0	2
X_9	3-halo-4,5-dihydroisoxazole	[Cl,Br]C1=NO[CX4][CX4]1	cysteine trap (ref DOI: 10.1002/cmdc.201500496)	0	0	1
CN_2	gem-nitrile	N#C*C#N		0	0	1
CN_3	cyanate	[O,Sv2,P]C#N		0	0	1
CN_4	cyanohydrin	[OH,Sv2H,NX4&!H0,NX3!$(*[C,S]=O)!$(*a)][CX4]C#N		0	0	2
CN_5	isocyanide	[C-]#[N+]		0	0	1
CN_6	more-than-2 nitriles	C#N.C#N.C#N		0	0	1
CN_7	haloimine	[NX3]=!@C[Cl,Br,I]		0	0	1
CC_1	floppy chain	[CH2;R0][CH2,NH,OD2,Sv2D2;R0][CH2,NH,OD2,Sv2D2;R0][CX4,N!H0,OD2,Sv2D2;R0][CX4,N!H0,OD2,Sv2D2;R0][#1,*]		0	0	2
CC_2	acrylamide derivative	[$([CH2]),$([CH;!$([CH]-@[*]:,=[*]);!$([CH][#7,#8])]-[*])]=[CH][$(C=O),$(S(=O)=O)]	serine trap (Michael acceptor, ia 5-alpha reductase inh finasteride, dutasteride), cysteine trap (kinase inh: canertinib, neratinib, afatinib, dacomitinib; dx.doi.org/10.1021/jm3003203)	1	0	1
CC_3	Michael alkene acceptor	[$([CH2]),$([CH1][CX4])]=[CH][$(C=S),$(C#N),$(C(F)(F)F),$([N](=O)-,=[O])]		0	0	1
CC_4	activated Michael acceptor	[C]=!@[C](-[$([C](=[O,S])),$(C#N),$(C(F)(F)F),$([N](=O)-,=[O]),$(S(=O)=O)])[$([C](=[O,S])),$(C#N),$(C(F)(F)F),$([N](=O)-,=[O]),$(S(=O)=O)]	cysteine trap (eg PDB 4M8T; dx.doi.org/10.1021/jm3003203)	0	0	1
CC_5	Michael alkyne acceptor	[$([C,S]=O),$(C(F)(F)F),$(C#N),$([N](=O)-,=[O])]C#[C;!$(C-[#7])]	reactive group, cysteine trap (kinase inh; dx.doi.org/10.1021/jm3003203)	0	0	1
CC_6	beta-amino sulfone	[#1,CX4][NR0]([#1,CX4])[CX4H2][CX4H2]S(=O)=O	chemically unstable (retro-Michael)	0	0	2
CC_7	gamma-amino propanenitrile	[#1,CX4][NR0]([#1,CX4])[CX4H2][CX4H2]C#N	chemically unstable (retro-Michael)	0	0	2
CC_8	polyene	C=[C;R0][C;R0]=C	toxicophore precursor (mechanism based inhibition of P450)	0	0	2
CC_9	terminal alkene	[CX4]C=[CH2]	toxicophore precursor (mechanism based inhibition of P450)	0	0	2
CC_10	terminal alkyne	C#C[#1,C&H3]	toxicophore precursor (mechanism based inhibition of P450), FAD in MOA-B covalently binds Seleginine via its terminal alkyne	0	0	2
CC_11	conjugated benzylidene	[a,N]C=!@C(-@[$([C]=[O,S]),$([N,O,Sv2])])-@[$([C]=[O,S]),$([N,O,Sv2])]	frequent hitter (does not match Sunitinib)	0	0	1
CC_12	unsaturated alkyl	C#,=!@C	toxicophore precursor (mechanism based inhibition of P450)	0	0	2
CC_13	unsaturated alkoxy	[C!H0]=!@[CH]!@[OH0]		0	0	1
CC_14	haloethylene	C=!@C[Cl,Br,I]		0	0	1
Ring_1	macrocycle	[r;!r3;!r4;!r5;!r6;!r7]		0	0	2
Ring_2	crown ether	[O;R1]-@[C;R1]-@[C;R1]-@[O;R1]-@[C;R1]-@[C;R1]-@[O;R1]		0	0	1
Ring_3	cryptand	[NX3;R3]-@[CR2].[NX3;R3]-@[CR2]	metal chelator	0	0	1
Ring_4	adamantyl	C1C2CC3CC1CC(C2)C3	chemical tractability	0	0	2
Ring_5	steroid	[#6]1~[#6]~[#6]~[#6]2~[#6](~[#6]~1)~C~1~C(~C~C~2)~C~2~C(~C~C~1)~C~C~C~2	chemical tractability	0	0	1
Ring_6	dense cyclic system	[#6;X3;R3,#7;X3;R3]	chemical tractability	0	0	1
Ring_7	highly bridged system	[$([CX4;R3]-@[*;R2].[CX4;R3]-@[*;R2]),$([CX4;R3]-@[CR2]-@[CX4;R3])]	chemical tractability	0	0	2
Ring_9	cytochalasin derivative	O=C1NCC2CCCCC21		0	0	2
Ring_10	cycloheximide derivative	O=C1CCCC(N1)=O		0	0	2
Ring_11	monensin derivative	O1CCCCC1C2CCCO2		0	0	2
Ring_12	anthocyanidin derivative	Oc1cc(O)cc2[#8+][#6]([#6](O)[#6]c21)c3ccc(O)		0	0	2
Ring_13	4-aryl THP	C1([C;H2][C;H2]N([C;H2][C;H1]=1)[#1,CX4])a		0	0	2
Ring_14	4-aryl DHP	a[CX4]1-C=C-N([#1,CX4])-C=C-1		0	0	2
Ring_15	maleimide	C1(=O)[C]=[C]C(=O)N1		0	0	1
Ring_16	phthalimide	C1(=O)ccC(=O)N1		0	0	1
Ring_17	reactive succinimide, N-activated phthalimide or saccharin	[#6,a]1=,:[#6,a]C(=O)N([CX4][$(C=O),S])[C,SX4]1=O	serine trap	0	0	1
Ring_23	isothiazolone	[#6]1=,:[#6]C(=O)[#7][#16v2]1		0	0	1
Ring_24	e-poor pyran	O1[C;H0]=C([$([C](=[O,S])),$(C#N),$([N+](=O)[O-]),$(S(=O)=O),$(C(F)(F)F)])[CX4]C([$([C](=[O,S])),$(C#N),$([N+](=O)[O-]),$(S(=O)=O),$(C(F)(F)F)])=[C;H0]1		0	0	2
Ring_25	1-3-5 oxadiazinone	[#6]C1=NC(=O)N=C([#6])O1		0	0	1
Ring_26	3-5EWG-pyridone	[N,O,S]1~[CH]~C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])~C(=O)~C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])~[CH]1		0	0	1
Ring_27	activated 4-ring	[C,N]1C(=[N,O,S])[O,S,N]C(=[N,O,S])1		0	0	1
Ring_28	biotin	C12NC(=O)NC1C[Sv2]C2		0	0	1
Ring_29	retinoid	CC(=C)\C=C\C=C(/C)\C=C\C1=CCCCC1(C)C		0	0	1
Ring_30	staurosporine derivative	O=C1[NH]C[#6](=,:[#6]1~c2c[n]c3ccccc23)~c4c[n]c5ccccc45	frequent hitter (kinase inh)	0	0	1
Ring_31	activated enamine	C(=O)C(=!@CN)C(=O)		0	0	1
Ring_32	porphyrin	[#6;X3;r5]1~[#7r5]~[#6;X3;r5]~[#6]~[#6;X3;r5]~[#7r5]~[#6;X3;r5]~[#6]~[#6;X3;r5]~[#7r5]~[#6;X3;r5]~[#6]~[#6;X3;r5]~[#7r5]~[#6;X3;r5]~[#6]~1	metal chelator	0	0	1
Ring_33	toxoflavin-fervenulin derivatives	[#6;!X4]1~[#7;!N+]~[#6;!X4]~[#6;!X4]2~[#7;!N+]~[#6;!X4]~[#7;!N+]~[#7;!N+]~[#6;!X4]~2~[#7;!N+]~1	frequent hitter (redox cycler; can produce H2O2)	0	0	1
Ring_34	unstable pyrimidinone	[CX4&!H0]1-[NH]-[#6]:,=[#6]-[C](=[O])-[N]-1	chemically unstable (prone to aromatise)	0	0	1
Ring_35	unstable 5-ring	[CX4&!H0]1-[CX4&!H0]-[*]=,:[*]-[N,O,Sv2]-1	chemically unstable (prone to aromatise)	0	0	1
Ring_36	unstable 6-ring 1	[CX4&!H0]1-[CX4&!H0]-[*]=,:[*]-[*]=,:[*]-1	chemically unstable (prone to aromatise)	0	0	1
Ring_37	unstable 6-ring 2	[CX3,N!X4,O]1~[CX3,N!X4,O]~[CX3,N!X4]=[CX3,N!X4]-[CX4!H0]-[CX4!H0]1	chemically unstable (prone to aromatise)	0	0	1
Ring_39	amino-thiadiazine	[$([N!H0]C1=N-N=C-C-S1),$([NH1]=C1-N=N-C-C-S1)]	frequent hitter, metal binder (eg MMP/ADAM)	0	1	1
Quinone_1	cyclohexadienone	O=C1C=[CH][CX4]C=C1	reagent (Michael acceptor), serine trap, toxicophore (liver failure by GSH depletion)	0	0	1
Quinone_2	o-quinone	[O,NX2,NX3&!H0,S]=C1-[#6]=[CH]-[#6]=,:[#6]-C-1=[O,S,NX2,NX3&!H0]	toxicophore (liver failure by GSH depletion)	0	0	1
Quinone_3	p-quinone	[O,NX2,NX3&!H0,S]=C1[#6]=[CH]C(=[O,NX2,NX3&!H0,S])[#6]=,:[#6]1	toxicophore (liver failure by GSH depletion)	0	0	1
Quinone_4	o-quinone methide	[#6]1=[#6H][#6]=,:[#6][#6](=[#6])[#6]1(=[O,NX2,NX3&!H0,S])	toxicophore (liver failure by GSH depletion)	0	0	1
Quinone_5	p-quinone methide	[#6;R1]1=[#6H][#6](=[#6])[#6]!-[#6][#6]1(=[O,NX2,NX3&!H0,S])	toxicophore (liver failure by GSH depletion)	0	0	1
Quinone_6	o-quinone direct precursor	[O,NX3,Sv2;!H0]c1c([CX4,O,NX3,Sv2;!H0])cc([cH]c1)	toxicophore precursor (liver failure by GSH depletion)	0	0	2
Quinone_9	p-quinone direct precursor	[O,NX3,Sv2;!H0]c1[cR1][cH]c(cc1)[C,O,NX3,Sv2;!H0]	toxicophore precursor (liver failure by GSH depletion)	0	0	2
Aromatic_1	fluorene-like	[CX4]1(-c2:c(:a:a:a:a:2)c:2:c-1:a:a:a:a:2)		0	0	1
Aromatic_2	fluorenone-like	[O,N]=[C;r5](-@c1:a:a:a:a:a:1)-@[$(c:a),$([C;R2]=@[C;R2])]		0	0	1
Aromatic_3	flat polycyclic system	[$([#6X3,#7,#8,#16v2]~@[#6X3,#7]1~[#6X3,#7,#8,#16v2]~[#6X3,#7](~@[#6X3,#7,#8,#16v2])~@[#6X3,#7](~@[#6X3,#7,#8,#16v2])~[#6X3,#7,#8,#16v2]~[#6X3,#7,#8,#16v2;!R0]~1~@[#6X3,#7,#8,#16v2]),$([#6X3,#7,#8,#16v2]~@[#6X3,#7]1~[#6X3,#7,#8,#16v2;!R0]~[#6X3,#7](~@[#6X3,#7,#8,#16v2])~[#6X3,#7](~@[#6X3,#7,#8,#16v2])~[#6X3,#7]~1~@[#6X3,#7,#8,#16v2]),$([#6X3,#7,#8,#16v2]~@[#6X3,#7]1~[#6X3,#7,#8,#16v2]~[#6X3]~[#6X3,#7](~@[#6X3,#7,#8,#16v2])~[#6X3,#7](~@[#6X3,#7,#8,#16v2])~[#6X3,#7]~1~@[#6X3,#7,#8,#16v2])]		0	0	2
Aromatic_4	triptycene-like	a1aaa2A3a4aaaaa4A(a5aaaaa35)a2a1		0	0	1
Aromatic_5	aromatic load	*:*(:*):*.*:[*;R2]:[*;R2].*:[*;R2]:[*;R2]		0	0	2
Aromatic_6	arylacetate	c-!@[C;!H0]!@C(=O)O	toxicophore precursor (hepatotox by glucuronidation)	0	0	2
Aromatic_7	arylpropionate	c-!@[C;!H0]-!@[C;!H0]!@C(=O)O		0	0	2
Aromatic_8	tri or tetra-aryl methyl	C(-!@c)(-!@c)-!@c		0	0	1
Aromatic_10	pyrene	c1ccc2ccc3cccc4ccc1c2c34		0	0	1
Aromatic_11	anthranilic amide	N-!@C(=O)-!@c:c-!@[NH]-!@C=O		0	0	2
Aromatic_12	aromatic bis-amide	[N!H0]C(=O)!@[c]:[c]!@C(=O)[N!H0]	frequent hitter, poor solublity	0	0	1
Aromatic_13	stilbene analog	c1ccccc1-[#6]:,=[#6]-!@c1ccccc1		0	0	2
Aromatic_14	triphenyl-ethane	c1ccccc1-[#6]-[#6](-!@c1ccccc1)-!@c1ccccc1		0	0	2
Aromatic_15	trimethoxyphenyl	c1cc(O[CH3])c(O[CH3])c(O[CH3])c1		0	0	2
Aromatic_16	tetrahydro-cyclopentene-quinoline	c1ccc2c(c1)C1C(CN2)CC=C1	frequent hitter (published in eg PMID 21426147)	0	0	1
Aromatic_17	fluorescein derivative	[O,N,S]-,=[#6]1~[#6,#7]~[#6]2O[#6]3~[#6,#7]~[#6](-,=[O,N,S])~[#6,#7]~[#6,#7]~[#6]~3~C(~[#6]~2~[#6,#7]~[#6,#7]~1)-ccC(=O)O	dye	0	0	1
Aromatic_18	phthalein derivative	[#7,#8,#16]~[#6]~1~[*]~[*]~[#6](~[*]~[*]~1)~[#6](-c:c-[#6,#15,#16](-[#8])=O)-c:1:*:*:c(-[#7,#8,#16]):*:*:1	dye	0	0	1
Aromatic_19	isatin derivative	c1:cC(=O)C(=O)N1	unsoluble; colored, polymerizes, serine trap	0	0	1
Hetaro_2	p-halo pyridine	[Cl,Br,I]c1:a:a:[n;R1]:a:a:1	chemically unstable	0	0	2
Hetaro_3	2-halo pyrimidine	[Cl,Br,I]c1:[n]:a:a:a:[n]:1	chemically unstable	0	0	1
Hetaro_4	4-halo pyrimidine	[Cl,Br,I]c1:[n]:a:[n]:a:c:1	chemically unstable	0	0	1
Hetaro_5	5-halo pyrimidine	[Cl,Br,I]c1:c:[n;R1]:a:[n;R1]:c:1	chemically unstable	0	0	1
Hetaro_6	2-halo-pyrazine	[Cl,Br,I]c1:c:[n;R1]:a:a:[n;R1]:1	chemically unstable	0	0	1
Hetaro_7	3-halo-pyridazine	[Cl,Br,I]c1:[n;R1]:[n;R1]:c:c:c:1	chemically unstable	0	0	1
Hetaro_8	2-halo-azole	[n,o,s]1ccnc1([Cl,Br,I])	chemically unstable	0	0	1
Hetaro_9	2-halo-3EWG-pyridine	[n;R1]1c([F,Cl,Br,I])c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])[c;!$(c-N)]c[c;!$(c-N)]1	chemically unstable	0	0	1
Hetaro_10	2-halo-5EWG-pyridine	[n;R1]1c([F,Cl,Br,I])c[c;!$(c-N)]c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])[c;!$(c-N)]1	chemically unstable	0	0	1
Hetaro_11	2-halo-3EWG-pyrazine	[n;R1]1c([F,Cl,Br,I])c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])ncc1	chemically unstable	0	0	1
Hetaro_12	2-halo-5EWG-pyrazine	[n;R1]1c([F,Cl,Br,I])[c;!$(c-N)]nc([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])[c;!$(c-N)]1	chemically unstable	0	0	1
Hetaro_13	2-halo-pyrimidine	[n;R1]1c([F,Cl,Br,I])nccc1	chemically unstable	0	0	1
Hetaro_14	4-halo-5EWG-pyrimidine	n1c[n;R1]c([F,Cl,Br,I])c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])c1	chemically unstable	0	0	1
Hetaro_15	3-halo-2EWG-pyridazine	[n;R1]1c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])c([F,Cl,Br,I])ccn1	chemically unstable	0	0	1
Hetaro_16	3-halo-4EWG-pyridazine	[n;R1]1cc([F,Cl,Br,I])c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])cn1	chemically unstable	0	0	1
Hetaro_17	2-halo-3EWG-pyridazine	[n;R1]1c([F,Cl,Br,I])c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])ccn1	chemically unstable	0	0	1
Hetaro_18	2-halo-5EWG-pyridazine	[n;R1]1c([F,Cl,Br,I])ccc([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$(C=O)])n1	chemically unstable	0	0	1
Hetaro_19	2-EWG-triazine	([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$([N](=O)-,=[O]),$([F,Cl,Br,I])])c1ncncn1	chemically unstable	0	0	1
Hetaro_20	coumarin	[#6]-2(-[#6]=[#6]-c:1:c:c(:c:c:c:1-[#8]-2))=[#8]		0	0	2
Hetaro_21	flavonoid	O=C1[CH]=C(c)Oc:c1	dye	0	0	2
Hetaro_22	isoflavonoid	O=C1C(c)=[CH]Oc:c1	dye	0	0	2
Hetaro_23	reactive chromenone	O=C1[CH]=C([#1,F,Cl,Br])Oc:c1		0	0	1
Hetaro_25	S or N benzo[b]furazane	c1:c:[c](-[$(S(=O)(=O)),$([N](=O)-,=[O])]):c2:c(:c:1):n:[o,s]:n:2	frequent hitter (sulfamoyl or nitro-benzofurazanes interfere with fluorescence-based assays)	0	0	1
Hetaro_26	hydroxyquinoline	[OH]c1cccc2cccnc12	metal chelator	0	1	2
Hetaro_27	non-fused furan	c(!@[#1,*])1oc(!@[#1,*])c(!@[#1,*])c(!@[#1,*])1	toxicophore precursor (mechanism based inhibition of P450) (see PMID 23061605)	0	0	2
Hetaro_28	methyl-furan	c([CH3])1oc([*])[cH][cH]1	chemically unstable (in air/DMSO, see PMID 26358009)	0	0	1
Hetaro_29	non-fused pyrrole	c(!@[#1,A])1[nH1]c(!@[#1,A])c(!@[#1,A])c(!@[#1,A])1		0	0	2
Hetaro_30	di-Me pyrrole	n1c([CH3])ccc([CH3])1	chemically unstable	0	0	1
Hetaro_32	free imidazole	[$([cH;R1]1[nH][cH;R1][n;R1][c;R1]1),$([cH;R1]1n[cH;R1][nH;R1][c;R1]1)]	metal chelator, CYP inhibition	0	1	2
Hetaro_35	e-rich indole	[c;R1]1[c;R1][c;R1]c2c([c;R1]1)c(c([nH]2))[#1]	toxicophore precursor (liver failure by GSH depletion)	0	0	2
Hetaro_36	3-methylindole	c1ccc2c(c1)c(c(n2[H])[H])[C;H3]		0	0	2
Hetaro_37	e-rich benzofuran	[c;R1]1[c;R1][c;R1]c2c([c;R1]1)c(c(o2))[#1]	toxicophore precursor (liver failure by GSH depletion)	0	0	2
Hetaro_38	thiazole	s1cncc1	toxicophore precursor (mechanism based inhibition of P450) (ia HIV protease inhibitors Ritonavir, Cobicistat, see 10.1021/jm300065h)	0	0	2
Hetaro_39	C-amino triazole	[#1,CX4]N([#1,CX4])c1:[nH]:[c;R1]:[n;R1]:[n;R1]:1		0	0	2
Hetaro_40	N-amino triazole	Nnnn	toxicophore precursor (mechanism based inhibition of P450), (heme alkylation, see 10.1021/jm300065h)	0	0	1
Hetaro_41	amino thiadiazol	[#1,CX4]N([#1,CX4])c1:[sX2]:[c;R1]:[n;R1]:[n;R1]:1		0	0	2
Hetaro_42	chlozapine-like	N-C1=[NX2]-c:c[NH;X3]c:a1	toxicophore precursor (reactive metabolite)	0	0	2
Hetaro_43	tri-amino triazine	Nc1nc(N)nc(N)n1	poor permeability	0	0	2
Hetaro_44	m or p-substituted pyridine	[nX2]1:[cH]:[c]:[c]:[c]:[cH]:1	CYP inhibition	0	0	2
Hetaro_47	substituted benzoxazinone	[N,c]C1=Nc2ccccc2C(=O)O1	serine trap	0	0	1
Hetaro_51	di-chloroisochromenone	ClC1=C(Cl)ccC(=O)O1	serine trap (rhomboid protease inhibitors)	0	0	1
Hetaro_52	alkoxy-chloroisochromenone	[CX4]OC1=C(Cl)c2ccc(N)cc2C(=O)O1	serine trap (rhomboid protease inhibitors)	0	0	1
atomtype_2	hetero-silyl	[#14]~[!#6]		0	0	2
atomtype_3	reactive boron	[B][!#6;!#8]	reagent	0	0	1
atomtype_4	aryl boronic	[c][BX3]([O][#1,C])[O][#1,C]	serine trap (eg Thr trap in autotaxin inh), zinc binder (eg autotaxin)	1	1	2
atomtype_5	alkyl boronic	[CX4][BX3]([O][#1,C])[O][#1,C]	serine trap (eg Thr trap proteazome inh Bortezomib)	1	1	2
atomtype_6	borate	OB(O)O		0	0	1
atomtype_7	selenium	[Se]		0	0	2
atomtype_8	unusual atom type	[!#1;!#5;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#34;!#35;!#53]		0	0	1
misc_1	quaternary C,Cl,I,P or S	[C+,Cl+,I+,P+,S+;!$([S+][O-])]		0	0	1
misc_2	acidic CH	[C;!H0]([$(C(=[O,S])),$(C#N),$([N+](=O)[O-]),$(S(=O)=O),$(C(F)(F)F)])[$(C(=[O,S])),$(C#N),$([N+](=O)[O-]),$(S(=O)=O)]		0	0	2
misc_3	peptide-like	[C;!$(C=O)]C(=O)-!@[N][C;!$(C=O)]C(=O)-!@[N][C;!$(C=O)]C(=O)-!@[N]	metabolically unstable	0	0	2